"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-265"	265	"beer"	1639	"BEER"
"Rona-Tas-2011-500-266"	266	"sterlet, sturgeon, Acipenser stellatus, ruthenus"	3606	"STURGEON"
"Rona-Tas-2011-500-267"	267	"dense, thick (of woods or soup)"	2239	"DENSE"
"Rona-Tas-2011-500-268"	268	"brother-in-law"	2314	"BROTHER-IN-LAW"
"Rona-Tas-2011-500-269"	269	"brother-in-law"	2314	"BROTHER-IN-LAW"
"Rona-Tas-2011-500-270"	270	"uvula, the recurved point of a fishing hook or a lance, red wattle on a chicken"	2293	"UVULA"
"Rona-Tas-2011-500-271"	271	"beard"	678	"BEARD"
"Rona-Tas-2011-500-272"	272	"raft"	1664	"RAFT"
"Rona-Tas-2011-500-273"	273	"number"	1356	"NUMBER"
"Rona-Tas-2011-500-274"	274	"to have pity for, to regret"	1875	"REGRET"
"Rona-Tas-2011-500-275"	275	"to wish, to intend something for somebody/something, to devote"	2117	"DESIRE"
"Rona-Tas-2011-500-276"	276	"bucket, wooden pail (with a handle)"	2052	"BUCKET"
"Rona-Tas-2011-500-277"	277	"light-coloured, yellowish, pale, (partly) bald"	1125	"BALD"
"Rona-Tas-2011-500-278"	278	"wing"	1257	"WING"
"Rona-Tas-2011-500-279"	279	"chair, seat, bench, throne"	1476	"CHAIR"
"Rona-Tas-2011-500-280"	280	"wind"	960	"WIND"
"Rona-Tas-2011-500-281"	281	"beautiful"	1427	"BEAUTIFUL"
"Rona-Tas-2011-500-282"	282	"freckle, sun spot, stain"	530	"FRECKLE"
"Rona-Tas-2011-500-283"	283	"part of a village, street, group of people; row, line, order"	1362	"STREET"
"Rona-Tas-2011-500-284"	284	"fumes, vapour, spirits, alcohol, humours"	404	"ALCOHOL (FERMENTED DRINK)"
"Rona-Tas-2011-500-285"	285	"colour, face, external appearance, the best part of something, the upperpart of something"	1560	"FACE"
"Rona-Tas-2011-500-286"	286	"thin hide rope, strap (used for embroidery or as a whip), refrozen thin layer after the melting of snow"	2973	"STRAP"
"Rona-Tas-2011-500-287"	287	"thin hide rope, strap (used for embroidery or as a whip), refrozen thin layer after the melting of snow"	2973	"STRAP"
"Rona-Tas-2011-500-288"	288	"rock, cliff, occiput, crest (of mountain)"	992	"CLIFF"
"Rona-Tas-2011-500-289"	289	"word"	1599	"WORD"
"Rona-Tas-2011-500-290"	290	"to spread, to scatter, to winnow"	3705	"SCATTER"
"Rona-Tas-2011-500-291"	291	"grasshopper"	607	"GRASSHOPPER"
"Rona-Tas-2011-500-292"	292	"to leap, to jump, to escape, to flee"	1829	"JUMP"
"Rona-Tas-2011-500-293"	293	"grape, wine grape, Vitis vinifer"	920	"GRAPE"
"Rona-Tas-2011-500-294"	294	"grape, wine grape, Vitis vinifer"	920	"GRAPE"
"Rona-Tas-2011-500-295"	295	"mosquito, gnat, Culex pipens"	1509	"MOSQUITO"
"Rona-Tas-2011-500-296"	296	"to cease, to stop"	1928	"CEASE"
"Rona-Tas-2011-500-297"	297	"to strain, to filter"	940	"STRAIN"
"Rona-Tas-2011-500-298"	298	"virgin, pure"	1147	"PURE"
"Rona-Tas-2011-500-299"	299	"sorcerer, medicine man"	394	"SHAMAN (FOLK HEALER)"
"Rona-Tas-2011-500-300"	300	"witness"	1144	"WITNESS"
"Rona-Tas-2011-500-301"	301	"to feed, to nourish"	739	"FEED"
"Rona-Tas-2011-500-302"	302	"bald"	1125	"BALD"
"Rona-Tas-2011-500-303"	303	"to hold, carry; to last, visszatart"	1448	"HOLD"
"Rona-Tas-2011-500-304"	304	"to wind something round, to twist"	430	"TWIST"
"Rona-Tas-2011-500-305"	305	"trough, wash tub, hutch"	205	"TROUGH"
"Rona-Tas-2011-500-306"	306	"strap (on a whip, or on a kind of sandal)"	2973	"STRAP"
"Rona-Tas-2011-500-307"	307	"a piece of land, field, parcel, patch, a higher place where animals rest and accumulate dung"	212	"FIELD"
"Rona-Tas-2011-500-308"	308	"axle"	1769	"AXLE"
"Rona-Tas-2011-500-309"	309	"sea"	1474	"SEA"
"Rona-Tas-2011-500-310"	310	"to turn, to change the original direction"	1588	"TURN"
"Rona-Tas-2011-500-311"	311	"to turn, to change the original direction"	1588	"TURN"
"Rona-Tas-2011-500-312"	312	"knee"	1371	"KNEE"
"Rona-Tas-2011-500-313"	313	"camel"	1871	"CAMEL"
"Rona-Tas-2011-500-314"	314	"steer, young bullock, ox"	1169	"OX"
"Rona-Tas-2011-500-315"	315	"to lay eggs"	2464	"LAY EGGS"
"Rona-Tas-2011-500-316"	316	"to lay eggs"	2464	"LAY EGGS"
"Rona-Tas-2011-500-317"	317	"sturgeon, Acipenser sturio"	3606	"STURGEON"
"Rona-Tas-2011-500-318"	318	"interpreter"	3744	"INTERPRETER"
"Rona-Tas-2011-500-319"	319	"to pile up, to become blocked"	1576	"PILE UP"
"Rona-Tas-2011-500-320"	320	"to pile up, to become blocked"	1576	"PILE UP"
"Rona-Tas-2011-500-321"	321	"to break (also e.g. hemp, salt, pepper), to separate into pieces, to break,to crush"	1520	"CRUSH"
"Rona-Tas-2011-500-322"	322	"snare, trap"	1075	"TRAP (PITFALL)"
"Rona-Tas-2011-500-323"	323	"to happen, to occur"	248	"HAPPEN"
